"DATA_YEAR","CRIMINAL_ACT_ID","OFFENSE_ID"
2017,9,110392857
2017,9,110393015
2017,6,110393053
2017,9,110393111
2017,9,110393117
2017,3,110393475
2017,6,110393898
2017,9,110393963
2017,6,110393997
2017,6,110366650
2017,6,110366673
2017,6,110366672
2017,9,110366701
2017,9,110366719
2017,9,110366949
2017,9,110367008
2017,8,110367659
2017,6,110367691
2017,6,110367692
2017,6,110373545
2017,8,110373545
2017,6,110373696
2017,6,110374057
2017,6,110374612
2017,6,110377184
2017,9,110377215
2017,6,110377399
2017,6,110377398
2017,3,110377831
2017,6,110378245
2017,8,110378434
2017,9,110378562
2017,3,110378884
2017,6,110382944
2017,6,110382957
2017,6,110383066
2017,9,110387611
2017,6,110388301
2017,6,110388360
2017,8,110388360
2017,9,117832164
2017,9,117832244
2017,9,117833156
2017,9,117835477
2017,8,117835985
2017,6,117836444
2017,8,117836486
2017,9,119336173
2017,8,119336176
2017,6,119336264
2017,9,119336892
2017,6,119336963
2017,6,110351337
2017,9,110352044
2017,9,110352460
2017,9,110352590
2017,6,110353692
2017,6,110355471
2017,6,110355499
2017,3,110355536
2017,6,110355536
2017,6,110355539
2017,6,110355551
2017,7,110355551
2017,3,110355551
2017,6,110355554
2017,6,110356458
2017,6,110356697
2017,9,110377293
2017,9,110377297
2017,9,110377359
2017,9,110377851
2017,9,110377926
2017,9,110378285
2017,9,110378540
2017,6,110378561
2017,6,110378652
2017,6,110378646
2017,9,110378704
2017,8,110378806
2017,9,110379049
2017,6,110383395
2017,6,110386440
2017,8,110389251
2017,8,110389344
2017,6,110391909
2017,9,110392243
2017,9,110392365
2017,8,110392431
2017,3,110392517
2017,9,110392946
2017,9,110393076
2017,9,110393112
2017,6,110393202
2017,6,110393415
2017,9,110393794
2017,6,110393904
2017,9,110394082
2017,6,110394420
2017,9,110394966
2017,6,110395532
2017,6,110395642
2017,3,110395642
2017,3,110396589
2017,6,110396632
2017,6,110396662
2017,6,115805633
2017,6,115805977
2017,6,115806522
2017,9,115807457
2017,6,115807662
2017,8,115917722
2017,6,115918693
2017,9,115920108
2017,9,115922467
2017,6,115923794
2017,9,115923869
2017,9,115923981
2017,9,115925068
2017,6,115925371
2017,6,115925458
2017,6,115925778
2017,9,115925908
2017,3,115926251
2017,1,115926250
2017,9,115927679
2017,9,115927975
2017,6,115929255
2017,9,115930709
2017,3,115930820
2017,6,115930968
2017,3,115931187
2017,8,115931883
2017,2,115933519
2017,6,115934324
2017,9,115934640
2017,6,110365659
2017,9,110365727
2017,9,110365777
2017,9,110365821
2017,9,110366425
2017,9,110366605
2017,9,110366796
2017,3,110367057
2017,3,110367058
2017,6,110367581
2017,6,110373919
2017,9,110373955
2017,6,110374422
2017,9,110377306
2017,9,110377341
2017,6,110377371
2017,3,110377370
2017,9,110377458
2017,9,110377587
2017,9,110377660
2017,9,110377852
2017,9,110377916
2017,9,110378386
2017,6,110378442
2017,6,110378497
2017,9,110378701
2017,9,110378722
2017,6,110378841
2017,9,110378861
2017,9,110379127
2017,9,110379286
2017,8,110379376
2017,6,110380633
2017,6,110384672
2017,6,110385427
2017,6,110386597
2017,6,110386627
2017,9,110391945
2017,9,110392034
2017,9,110392048
2017,9,110392124
2017,6,110392955
2017,6,110392950
2017,9,110393473
2017,6,110393762
2017,9,110394092
2017,6,110396687
2017,6,110396784
2017,6,110396856
2017,6,110396854
2017,6,115128964
2017,3,115129221
2017,6,115129221
2017,3,115129614
2017,6,110926058
2017,4,110926481
2017,6,110926481
2017,9,110927449
2017,6,110927558
2017,6,110927773
2017,9,110929234
2017,9,110929264
2017,6,110929731
2017,6,110929824
2017,6,110930250
2017,9,110930934
2017,6,110931029
2017,9,110931342
2017,9,110931356
2017,6,110931453
2017,8,110931451
2017,6,110931451
2017,8,110931467
2017,6,110931469
2017,9,110932646
2017,6,110933241
2017,6,110933243
2017,6,110934332
2017,8,110934414
2017,6,110935832
2017,1,110936480
2017,2,110937922
2017,1,110938336
2017,1,110938371
2017,1,110938448
2017,6,110938821
2017,6,110938822
2017,6,110938897
2017,3,110941272
2017,6,110941854
2017,6,110941849
2017,3,110943052
2017,3,110943073
2017,3,110943084
2017,6,110943829
2017,6,110943834
2017,6,110944318
2017,6,110944806
2017,6,110944799
2017,6,110944872
2017,6,110944869
2017,6,110945143
2017,8,110945505
2017,6,110946007
2017,6,110946015
2017,6,110946181
2017,6,110948391
2017,6,110948710
2017,6,110949362
2017,6,110949769
2017,6,110949768
2017,3,110949768
2017,3,110950173
2017,6,110950224
2017,6,110950605
2017,6,110951370
2017,9,115131277
2017,8,110954200
2017,6,110954716
2017,9,110955419
2017,9,110955457
2017,2,110955834
2017,6,110956061
2017,6,110956912
2017,9,111468977
2017,6,111469270
2017,9,111469259
2017,2,111469260
2017,3,111469260
2017,6,111469260
2017,9,111469745
2017,6,111470417
2017,6,111470420
2017,3,111470618
2017,9,111473703
2017,9,111473756
2017,6,111473955
2017,9,111474166
2017,6,111474507
2017,8,111475853
2017,9,111477485
2017,9,111477557
2017,6,111478229
2017,6,111478307
2017,6,111478688
2017,6,111478761
2017,6,111478763
2017,5,111479319
2017,3,111479318
2017,9,111479937
2017,6,111481525
2017,6,111482830
2017,6,111484439
2017,9,111484719
2017,3,111484875
2017,6,111485479
2017,9,111485517
2017,9,111487584
2017,9,111487607
2017,6,111487949
2017,9,111488400
2017,6,111489566
2017,6,111490549
2017,6,111496390
2017,6,111496924
2017,3,111497543
2017,8,111498025
2017,6,111498517
2017,6,111500346
2017,6,111501889
2017,6,111501961
2017,6,111508698
2017,9,111508949
2017,6,111511188
2017,9,111511328
2017,6,111511472
2017,9,111511876
2017,3,111512181
2017,6,111512226
2017,6,111512228
2017,3,111512275
2017,6,111512275
2017,3,111512279
2017,6,111512512
2017,9,111512882
2017,6,117730111
2017,6,110393984
2017,6,110393993
2017,3,110394473
2017,6,110394553
2017,9,110395362
2017,9,110396159
2017,6,110396570
2017,6,110396878
2017,6,115787473
2017,6,115787506
2017,6,115788980
2017,6,115789735
2017,6,115789972
2017,6,115791068
2017,6,115791073
2017,6,115791325
2017,6,117648665
2017,6,117648669
2017,9,117649033
2017,9,117649917
2017,9,117651040
2017,6,117651137
2017,6,117651673
2017,6,117652075
2017,6,117652269
2017,3,117653213
2017,3,117653249
2017,6,117653416
2017,6,117653453
2017,6,117653552
2017,6,117653849
2017,6,117653878
2017,3,117653890
2017,6,117653899
2017,6,117654275
2017,6,117654964
2017,6,117655180
2017,6,117655231
2017,6,117655312
2017,6,117655352
2017,3,117655453
2017,9,117655614
2017,6,117655693
2017,6,117655695
2017,6,117655700
2017,6,117655708
2017,9,113746432
2017,6,113746727
2017,6,113747195
2017,6,113747454
2017,6,113747455
2017,6,113747533
2017,6,113747534
2017,6,113748287
2017,6,113748355
2017,6,113748354
2017,8,113748967
2017,6,113749005
2017,6,113749027
2017,6,113749106
2017,6,113749185
2017,6,113749388
2017,6,113750734
2017,1,113751150
2017,3,113751743
2017,1,113751952
2017,8,113751946
2017,1,113751950
2017,1,113752391
2017,1,113752429
2017,1,113752581
2017,6,113752655
2017,1,113752958
2017,6,113753051
2017,3,113753636
2017,6,113753680
2017,9,111011637
2017,8,111011727
2017,9,111012044
2017,6,111012087
2017,9,111012574
2017,6,111012604
2017,9,111012727
2017,9,111013269
2017,9,111013449
2017,9,111013950
2017,9,111014070
2017,9,111014107
2017,6,111014138
2017,6,111014135
2017,6,111014142
2017,6,111473487
2017,3,111473487
2017,6,111473687
2017,6,111474421
2017,6,111476094
