"DATA_YEAR","WEAPON_ID","OFFENSE_ID","NIBRS_WEAPON_ID"
2017,12,115858142,20570211
2017,5,115858781,20570387
2017,5,115858775,20570386
2017,12,115859572,20570598
2017,12,115859567,20570594
2017,12,115859707,20570643
2017,12,115861484,20571158
2017,3,115861667,20571204
2017,12,115861723,20571214
2017,12,115862909,20571508
2017,12,115863345,20571637
2017,20,115864655,20571887
2017,12,115866119,20572219
2017,12,115866936,20572414
2017,12,115867668,20572574
2017,19,115867798,20572606
2017,12,115869158,20572909
2017,20,115870674,20573260
2017,3,115871042,20573327
2017,4,115871396,20573411
2017,10,115874067,20573967
2017,12,115874105,20573976
2017,12,115875245,20574268
2017,12,115875276,20574274
2017,11,115875377,20574298
2017,18,115875561,20574330
2017,12,115875663,20574356
2017,12,115875661,20574355
2017,12,115875728,20574381
2017,18,115876045,20574456
2017,12,115876275,20574519
2017,12,115879292,20575276
2017,12,115879653,20575363
2017,12,115880301,20575517
2017,12,115880369,20575537
2017,22,115882266,20575944
2017,3,115882324,20575957
2017,2,115883372,20576185
2017,22,115885564,20576712
2017,3,115885649,20576730
2017,12,115886569,20576955
2017,12,115888746,20577580
2017,12,115892798,20578294
2017,3,115892799,20578295
2017,22,115892864,20578319
2017,22,115892865,20578320
2017,12,115893192,20578435
2017,9,115893349,20578488
2017,12,115893877,20578682
2017,12,115893939,20578700
2017,12,115893966,20578710
2017,3,115894991,20579053
2017,9,115895195,20579111
2017,12,115895350,20579147
2017,3,115896171,20579395
2017,12,115898783,20580060
2017,12,115898958,20580110
2017,3,115899598,20580255
2017,12,115899677,20580280
2017,12,115900047,20580376
2017,12,115900457,20580480
2017,20,115900709,20580522
2017,3,115900874,20580559
2017,2,115901674,20580711
2017,20,115902541,20580921
2017,12,115902992,20581033
2017,12,115903157,20581072
2017,20,115903587,20581185
2017,20,115904649,20581452
2017,20,115905296,20581598
2017,3,115905615,20581668
2017,12,115905697,20581682
2017,12,115911242,20582982
2017,12,115911483,20583034
2017,3,115911977,20583144
2017,3,115912033,20583162
2017,12,115913714,20583576
2017,12,115916688,20584290
2017,9,115917331,20584470
2017,20,115917748,20584564
2017,3,115919134,20584878
2017,12,115919160,20584888
2017,20,115919399,20584955
2017,2,115919503,20584991
2017,18,115919850,20585084
2017,22,115921035,20585312
2017,12,115923941,20586061
2017,3,115924142,20586109
2017,12,115924220,20586137
2017,3,115924485,20586197
2017,12,115924640,20586238
2017,18,115925271,20586349
2017,12,115925396,20586369
2017,12,115925482,20586384
2017,9,115925926,20586492
2017,22,115926735,20586652
2017,20,115927149,20586777
2017,9,115927923,20586975
2017,12,115929278,20587283
2017,3,115929433,20587320
2017,12,115930350,20587509
2017,12,115930461,20587530
2017,12,115930687,20587590
2017,12,115930828,20587617
2017,12,115930966,20587647
2017,12,115930994,20587658
2017,22,115931994,20587908
2017,12,115932207,20587947
2017,12,115932227,20587954
2017,20,115932256,20587963
2017,12,115932765,20588086
2017,12,115934224,20588384
2017,12,115940559,20590049
2017,21,115943917,20590805
2017,12,115950497,20592256
2017,6,115951340,20592433
2017,12,115951562,20592481
2017,20,115951757,20592532
2017,12,115952660,20592804
2017,18,115953381,20593001
2017,12,115953420,20593006
2017,12,115953626,20593031
2017,12,115954128,20593127
2017,18,115954145,20593134
2017,12,110878462,19513771
2017,12,110878501,19513785
2017,12,110878648,19513814
2017,12,110878766,19513839
2017,12,110878772,19513841
2017,12,117739730,20969541
2017,12,117739718,20969538
2017,12,117740639,20969762
2017,12,117740719,20969780
2017,12,117741059,20969844
2017,12,117741161,20969870
2017,12,117741221,20969879
2017,12,117741781,20970001
2017,12,117742057,20970055
2017,20,117742920,20970217
2017,12,117743741,20970378
2017,12,113143432,19984479
2017,12,113144008,19984583
2017,12,113144219,19984620
2017,12,111597997,19672325
2017,9,111598227,19672398
2017,12,111600880,19673142
2017,12,111601288,19673272
2017,12,111601447,19673331
2017,12,111601473,19673336
2017,12,111601598,19673377
2017,19,111601703,19673415
2017,3,111601824,19673457
2017,12,111602235,19673572
2017,12,111602517,19673634
2017,6,111604354,19674239
2017,2,111604420,19674254
2017,3,111604634,19674319
2017,12,111605507,19674537
2017,12,111605614,19674559
2017,12,111605746,19674590
2017,12,111605889,19674624
2017,12,111607412,19674986
