N,DATA_YEAR,ARRESTEE_ID,INCIDENT_ID,ARREST_DATE,MULTIPLE_INDICATOR,AGE_NUM,SEX_CODE,ARREST_TYPE_NAME,OFFENSE_NAME,CRIME_AGAINST,OFFENSE_CATEGORY_NAME,OFFENSE_GROUP,RACE_DESC,AGENCY_ID,NIBRS_MONTH_ID,SUBMISSION_DATE,INCIDENT_DATE,INCIDENT_HOUR
17443,2017,25794993,88756366,02-JAN-17,C,27,M,On View,All Other Larceny,Property,Larceny/Theft Offenses,A,Black or African American,632,7512362,17-AUG-18,01-JAN-17,0
17444,2017,25796531,88759388,01-JAN-17,N,19,M,On View,Stolen Property Offenses,Property,Stolen Property Offenses,A,White,659,7512379,17-AUG-18,01-JAN-17,8
17445,2017,26521723,90855508,13-APR-17,N,49,F,On View,Shoplifting,Property,Larceny/Theft Offenses,A,White,499,7630213,17-AUG-18,13-APR-17,13
17446,2017,26521736,90855551,29-APR-17,N,42,M,On View,Destruction/Damage/Vandalism of Property,Property,Destruction/Damage/Vandalism of Property,A,White,499,7630213,17-AUG-18,28-APR-17,19
17447,2017,26521774,90855739,12-APR-17,N,29,M,On View,Shoplifting,Property,Larceny/Theft Offenses,A,White,566,7630231,17-AUG-18,12-APR-17,21
17448,2017,26313075,90242495,27-FEB-17,N,53,F,On View,Shoplifting,Property,Larceny/Theft Offenses,A,White,657,7594390,17-AUG-18,27-FEB-17,9
17449,2017,26313264,90242959,26-MAR-17,N,30,M,On View,Theft From Motor Vehicle,Property,Larceny/Theft Offenses,A,White,666,7594407,17-AUG-18,26-MAR-17,11
17450,2017,26313401,90243288,27-APR-17,N,47,M,On View,Shoplifting,Property,Larceny/Theft Offenses,A,White,661,7594408,17-AUG-18,27-APR-17,19
17451,2017,26327066,90284153,12-FEB-17,N,18,M,On View,Destruction/Damage/Vandalism of Property,Property,Destruction/Damage/Vandalism of Property,A,White,770,7596331,17-AUG-18,11-FEB-17,22
17452,2017,26327292,90284980,27-FEB-17,C,62,M,On View,Shoplifting,Property,Larceny/Theft Offenses,A,White,770,7596331,17-AUG-18,27-FEB-17,16
17453,2017,26327682,90286173,21-MAR-17,N,35,F,On View,Stolen Property Offenses,Property,Stolen Property Offenses,A,White,770,7596332,17-AUG-18,21-MAR-17,17
17454,2017,26327819,90286586,30-MAR-17,C,19,F,On View,Counterfeiting/Forgery,Property,Counterfeiting/Forgery,A,White,770,7596332,17-AUG-18,30-MAR-17,16
17455,2017,25808473,88789018,01-JAN-17,N,39,M,On View,Stolen Property Offenses,Property,Stolen Property Offenses,A,Black or African American,749,7515643,17-AUG-18,01-JAN-17,NA
17456,2017,25788792,88742208,18-JAN-17,N,25,F,On View,Counterfeiting/Forgery,Property,Counterfeiting/Forgery,A,White,572,7510389,17-AUG-18,18-JAN-17,17
17457,2017,25794418,88754878,29-JAN-17,N,26,M,Taken INTO Custody,Burglary/Breaking & Entering,Property,Burglary/Breaking & Entering,A,White,609,7512344,17-AUG-18,29-JAN-17,12
17458,2017,25796808,88759871,04-JAN-17,N,28,F,On View,Shoplifting,Property,Larceny/Theft Offenses,A,White,661,7512380,17-AUG-18,04-JAN-17,14
17459,2017,25797237,88760795,20-JAN-17,N,32,M,On View,Counterfeiting/Forgery,Property,Counterfeiting/Forgery,A,White,666,7512384,17-AUG-18,08-JAN-17,10
17460,2017,25882823,88993075,03-FEB-17,N,30,M,Taken INTO Custody,Shoplifting,Property,Larceny/Theft Offenses,A,Black or African American,728,7528697,17-AUG-18,03-FEB-17,10
17461,2017,25882973,88993534,05-FEB-17,N,40,M,On View,Theft From Motor Vehicle,Property,Larceny/Theft Offenses,A,Black or African American,728,7528697,17-AUG-18,05-FEB-17,22
17462,2017,25883097,88993833,07-FEB-17,N,44,M,Summoned / Cited,All Other Larceny,Property,Larceny/Theft Offenses,A,White,728,7528697,17-AUG-18,07-FEB-17,15
17463,2017,25883145,88993993,08-FEB-17,N,53,F,Taken INTO Custody,Shoplifting,Property,Larceny/Theft Offenses,A,Black or African American,728,7528697,17-AUG-18,08-FEB-17,15
