N,DATA_YEAR,ARRESTEE_ID,INCIDENT_ID,ARREST_DATE,MULTIPLE_INDICATOR,AGE_NUM,SEX_CODE,ARREST_TYPE_NAME,OFFENSE_NAME,CRIME_AGAINST,OFFENSE_CATEGORY_NAME,OFFENSE_GROUP,RACE_DESC,AGENCY_ID,NIBRS_MONTH_ID,SUBMISSION_DATE,INCIDENT_DATE,INCIDENT_HOUR
4284,2017,26707362,91393915,19-AUG-17,N,27,M,Summoned / Cited,All Other Larceny,Property,Larceny/Theft Offenses,A,White,10161,7633127,17-AUG-18,19-AUG-17,16
4285,2017,26373808,90424877,18-JUN-17,N,41,F,Summoned / Cited,Shoplifting,Property,Larceny/Theft Offenses,A,White,9542,7605970,17-AUG-18,18-JUN-17,13
4286,2017,26373849,90424931,10-JUN-17,C,47,M,Taken INTO Custody,Destruction/Damage/Vandalism of Property,Property,Destruction/Damage/Vandalism of Property,A,Black or African American,9597,7605920,17-AUG-18,09-JUN-17,17
4287,2017,26374625,90426513,01-MAY-17,C,26,F,On View,Shoplifting,Property,Larceny/Theft Offenses,A,White,9964,7606189,17-AUG-18,01-MAY-17,14
4288,2017,26377902,90435087,19-JUN-17,N,30,M,On View,Shoplifting,Property,Larceny/Theft Offenses,A,White,9963,7590966,17-AUG-18,19-JUN-17,19
4289,2017,26377904,90435087,19-JUN-17,N,27,F,On View,Shoplifting,Property,Larceny/Theft Offenses,A,White,9963,7590966,17-AUG-18,19-JUN-17,19
4290,2017,26376743,90432589,21-JUN-17,N,21,M,Taken INTO Custody,All Other Larceny,Property,Larceny/Theft Offenses,A,White,9962,7606199,17-AUG-18,20-JUN-17,16
4291,2017,26376741,90432589,21-JUN-17,N,23,M,Taken INTO Custody,Theft From Building,Property,Larceny/Theft Offenses,A,White,9962,7606199,17-AUG-18,20-JUN-17,16
4292,2017,27756384,94780003,24-OCT-17,N,18,M,On View,Shoplifting,Property,Larceny/Theft Offenses,A,White,9963,7715061,20-AUG-18,24-OCT-17,15
4293,2017,27756459,94780173,02-DEC-17,N,47,F,On View,Shoplifting,Property,Larceny/Theft Offenses,A,White,9963,7740609,20-AUG-18,22-NOV-17,15
4294,2017,26382196,90446477,01-JUN-17,N,22,M,Taken INTO Custody,Burglary/Breaking & Entering,Property,Burglary/Breaking & Entering,A,Black or African American,10161,7524031,17-AUG-18,07-MAR-17,18
4295,2017,26382666,90447969,22-APR-17,N,50,F,Summoned / Cited,Destruction/Damage/Vandalism of Property,Property,Destruction/Damage/Vandalism of Property,A,Black or African American,10161,7554121,17-AUG-18,22-APR-17,3
4296,2017,26530422,90878191,26-JUL-17,N,21,M,Summoned / Cited,Shoplifting,Property,Larceny/Theft Offenses,A,White,9739,7631825,17-AUG-18,26-JUL-17,17
4297,2017,26530750,90879269,18-JUL-17,N,35,M,Taken INTO Custody,Credit Card/Automated Teller Machine Fraud,Property,Fraud Offenses,A,Black or African American,9962,7553617,17-AUG-18,03-MAR-17,0
4298,2017,26531606,90882182,27-JUN-17,C,20,F,On View,Shoplifting,Property,Larceny/Theft Offenses,A,White,9964,7606190,17-AUG-18,27-JUN-17,14
4299,2017,25846767,88902777,02-JAN-17,N,21,M,On View,Shoplifting,Property,Larceny/Theft Offenses,A,White,9963,7469566,17-AUG-18,02-JAN-17,20
4300,2017,25847167,88903589,20-FEB-17,N,45,M,On View,Shoplifting,Property,Larceny/Theft Offenses,A,White,9963,7495709,17-AUG-18,20-FEB-17,16
4301,2017,26376142,90430806,22-JUN-17,N,33,M,Taken INTO Custody,Shoplifting,Property,Larceny/Theft Offenses,A,White,9739,7606192,17-AUG-18,22-JUN-17,10
4302,2017,25846903,88903070,27-JAN-17,N,15,M,On View,Theft From Building,Property,Larceny/Theft Offenses,A,White,9963,7469566,17-AUG-18,26-JAN-17,22
4303,2017,25856445,88926539,19-JAN-17,N,45,F,Summoned / Cited,All Other Larceny,Property,Larceny/Theft Offenses,A,Black or African American,10161,7470113,17-AUG-18,19-JAN-17,20
4304,2017,25856537,88926854,22-JAN-17,N,22,M,Summoned / Cited,Destruction/Damage/Vandalism of Property,Property,Destruction/Damage/Vandalism of Property,A,White,10161,7470113,17-AUG-18,22-JAN-17,4
4305,2017,25856875,88927781,25-JAN-17,C,53,M,On View,All Other Larceny,Property,Larceny/Theft Offenses,A,White,10161,7470113,17-AUG-18,25-JAN-17,14
4306,2017,26376014,90430340,15-JUN-17,N,31,F,Taken INTO Custody,All Other Larceny,Property,Larceny/Theft Offenses,A,White,9739,7606192,17-AUG-18,15-JUN-17,12
4307,2017,26376010,90430340,15-JUN-17,N,32,M,Taken INTO Custody,Shoplifting,Property,Larceny/Theft Offenses,A,White,9739,7606192,17-AUG-18,15-JUN-17,12
4308,2017,26377396,90433922,19-MAR-17,N,27,F,Summoned / Cited,Shoplifting,Property,Larceny/Theft Offenses,A,White,9963,7525482,17-AUG-18,19-MAR-17,23
4309,2017,26271543,90133009,25-APR-17,N,55,M,Taken INTO Custody,All Other Larceny,Property,Larceny/Theft Offenses,A,White,9739,7575017,17-AUG-18,25-APR-17,19
4310,2017,25844845,88898324,24-JAN-17,N,33,M,Taken INTO Custody,Stolen Property Offenses,Property,Stolen Property Offenses,A,White,9598,7469425,17-AUG-18,24-JAN-17,0
4311,2017,25845087,88898836,08-MAR-17,N,34,M,Taken INTO Custody,Embezzlement,Property,Embezzlement,A,White,9809,7523168,17-AUG-18,10-FEB-17,4
4312,2017,25845922,88901088,18-FEB-17,N,35,M,Summoned / Cited,Shoplifting,Property,Larceny/Theft Offenses,A,White,9739,7523174,17-AUG-18,18-FEB-17,10
4313,2017,26046924,89494688,29-MAR-17,N,21,M,Summoned / Cited,Shoplifting,Property,Larceny/Theft Offenses,A,White,9739,7553615,17-AUG-18,29-MAR-17,20
4314,2017,26047174,89495407,08-MAR-17,N,47,M,Taken INTO Custody,Destruction/Damage/Vandalism of Property,Property,Destruction/Damage/Vandalism of Property,A,Black or African American,9962,7523179,17-AUG-18,17-FEB-17,12
4315,2017,26047944,89497362,17-FEB-17,N,18,F,On View,Shoplifting,Property,Larceny/Theft Offenses,A,Black or African American,9963,7495709,17-AUG-18,17-FEB-17,18
4316,2017,26048099,89497858,18-MAR-17,N,65,M,Summoned / Cited,Shoplifting,Property,Larceny/Theft Offenses,A,Black or African American,9963,7525482,17-AUG-18,18-MAR-17,5
4317,2017,26056225,89518790,07-MAR-17,C,19,M,Taken INTO Custody,Robbery,Property,Robbery,A,Black or African American,10161,7470113,17-AUG-18,09-JAN-17,20
4318,2017,26056419,89519280,14-MAR-17,N,20,F,Taken INTO Custody,Stolen Property Offenses,Property,Stolen Property Offenses,A,White,10161,7470113,17-AUG-18,16-JAN-17,13
4319,2017,26057840,89522521,07-MAR-17,C,19,M,Taken INTO Custody,Robbery,Property,Robbery,A,Black or African American,10161,7494133,17-AUG-18,13-FEB-17,13
4320,2017,26057830,89522521,23-FEB-17,C,19,M,Taken INTO Custody,Robbery,Property,Robbery,A,Black or African American,10161,7494133,17-AUG-18,13-FEB-17,13
4321,2017,26058007,89523070,15-FEB-17,N,42,M,On View,Shoplifting,Property,Larceny/Theft Offenses,A,Black or African American,10161,7494133,17-AUG-18,15-FEB-17,12
4322,2017,26058094,89523415,17-FEB-17,N,19,M,On View,Destruction/Damage/Vandalism of Property,Property,Destruction/Damage/Vandalism of Property,A,Black or African American,10161,7494133,17-AUG-18,17-FEB-17,13
4323,2017,26058057,89523282,16-FEB-17,N,15,F,On View,All Other Larceny,Property,Larceny/Theft Offenses,A,Black or African American,10161,7494133,17-AUG-18,16-FEB-17,12
4324,2017,25846811,88902837,06-JAN-17,N,19,M,On View,Shoplifting,Property,Larceny/Theft Offenses,A,White,9963,7469566,17-AUG-18,06-JAN-17,10
4325,2017,25846834,88902888,11-JAN-17,N,26,M,On View,Shoplifting,Property,Larceny/Theft Offenses,A,Black or African American,9963,7469566,17-AUG-18,11-JAN-17,12
4326,2017,26922678,92068325,05-SEP-17,N,32,M,Summoned / Cited,Shoplifting,Property,Larceny/Theft Offenses,A,White,9735,7688070,17-AUG-18,05-SEP-17,13
4327,2017,26922672,92068325,05-SEP-17,N,31,M,Summoned / Cited,Shoplifting,Property,Larceny/Theft Offenses,A,White,9735,7688070,17-AUG-18,05-SEP-17,13
4328,2017,26281089,90155972,05-MAY-17,C,35,M,Summoned / Cited,All Other Larceny,Property,Larceny/Theft Offenses,A,White,10161,7576189,17-AUG-18,05-MAY-17,21
4329,2017,26281324,90157090,11-MAY-17,C,22,M,Summoned / Cited,All Other Larceny,Property,Larceny/Theft Offenses,A,White,10161,7576189,17-AUG-18,11-MAY-17,1
4330,2017,26282005,90159625,20-MAY-17,N,48,M,Taken INTO Custody,All Other Larceny,Property,Larceny/Theft Offenses,A,White,10161,7576189,17-AUG-18,20-MAY-17,10
