"DATA_YEAR","VICTIM_ID","OFFENDER_ID","RELATIONSHIP_ID","NIBRS_VICTIM_OFFENDER_ID"
2017,98510162,101625848,21,29687428
2017,98510252,101625896,18,29687456
2017,98510252,101625897,18,29687457
2017,98510252,101625905,18,29687462
2017,98510551,101626240,18,29687589
2017,98510665,101626362,26,29687623
2017,98511221,101626924,15,29687786
2017,98511267,101626987,25,29687814
2017,98511267,101626985,1,29687813
2017,98511272,101626985,25,29687816
2017,98511272,101626987,1,29687817
2017,98511300,101627016,1,29687845
2017,98511317,101627016,1,29687854
2017,98511309,101627016,1,29687851
2017,98511303,101627016,15,29687848
2017,98511298,101627016,1,29687842
2017,98511312,101627016,1,29687852
2017,98511762,101627476,17,29687985
2017,98512251,101627966,3,29688147
2017,98512663,101628396,19,29688320
2017,98512663,101628393,19,29688319
2017,98512668,101628393,19,29688322
2017,98512668,101628396,19,29688323
2017,98512733,101628478,1,29688335
2017,98513569,101629295,18,29688672
2017,98513891,101629628,24,29688773
2017,98514467,101630234,24,29688973
2017,98514601,101630352,24,29689036
2017,98515323,101631051,1,29689286
2017,98515513,101631239,18,29689348
2017,98515522,101631239,21,29689351
2017,98515522,101631247,18,29689352
2017,98515513,101631247,21,29689349
2017,98515825,101631530,4,29689447
2017,98515834,101631530,18,29689457
2017,98515909,101631648,5,29689483
2017,98517082,101632872,17,29689991
2017,98517775,101633599,3,29690265
2017,98481985,101597003,25,29679123
2017,98481976,101597003,3,29679120
2017,98481985,101597000,3,29679122
2017,98481976,101597000,25,29679119
2017,98483382,101598362,17,29679532
2017,98483444,101598434,3,29679566
2017,98483849,101598871,3,29679690
2017,98484463,101599463,18,29679864
2017,98485351,101600309,18,29680058
2017,98486255,101601191,21,29680270
2017,98487312,101602204,1,29680493
2017,98489417,101604399,1,29681028
2017,98498537,101613684,3,29683588
2017,98499522,101614622,16,29683900
2017,98499510,101614622,18,29683890
2017,98499510,101614620,18,29683897
2017,98499523,101614620,16,29683902
2017,98499523,101614622,16,29683903
2017,98499522,101614620,16,29683899
2017,98501991,101617099,3,29684682
2017,98502239,101617387,15,29684748
2017,98502809,101617987,1,29685011
2017,98502809,101617981,1,29685009
2017,98502809,101617985,1,29685010
2017,98503191,101618399,16,29685127
2017,98504379,101619618,20,29685427
2017,98504836,101620058,18,29685536
2017,98504877,101620139,24,29685545
2017,98505203,101620469,18,29685680
2017,98505963,101621265,16,29685992
2017,98506025,101621352,18,29686013
2017,98506824,101622239,1,29686344
2017,98506884,101622302,18,29686371
2017,98507086,101622507,5,29686405
2017,98507372,101622792,18,29686531
2017,98507346,101622791,18,29686501
2017,98507348,101622792,18,29686507
2017,98507352,101622792,18,29686512
2017,98507369,101622791,18,29686527
2017,98507333,101622792,18,29686493
2017,98507352,101622791,18,29686510
2017,98507369,101622792,18,29686528
2017,98507333,101622791,18,29686492
2017,98507360,101622791,18,29686516
2017,98507355,101622792,18,29686514
2017,98507360,101622792,18,29686525
2017,98507348,101622791,18,29686506
2017,98507372,101622791,18,29686529
2017,98507346,101622792,18,29686503
2017,98507355,101622791,18,29686513
2017,98507582,101623069,24,29686611
2017,98507992,101623517,3,29686736
2017,98508210,101623751,24,29686814
2017,98508250,101623785,18,29686836
2017,98508559,101624093,21,29686892
2017,98508723,101624324,24,29686932
2017,98508859,101624504,18,29686976
2017,98509454,101625122,18,29687150
2017,98510282,101625968,16,29687475
2017,98510417,101626113,1,29687529
2017,98510591,101626282,24,29687600
2017,98510676,101626365,24,29687625
2017,98510676,101626368,24,29687627
2017,98510676,101626370,24,29687628
2017,98510676,101626366,24,29687626
2017,98510940,101626651,21,29687703
2017,98511326,101627032,9,29687857
2017,98511326,101627028,9,29687856
2017,98511578,101627297,18,29687936
2017,98511578,101627289,18,29687934
2017,98511847,101627565,13,29688023
2017,98512835,101628588,18,29688372
2017,98513015,101628757,15,29688444
2017,98513082,101628814,21,29688459
2017,98513783,101629522,19,29688721
2017,98515076,101630825,21,29689197
2017,98515070,101630825,5,29689194
2017,98515162,101630893,18,29689210
2017,98515379,101631106,3,29689300
2017,98515483,101631216,1,29689336
2017,98515801,101631512,9,29689442
2017,98515801,101631518,3,29689443
2017,98516231,101631942,18,29689593
2017,98516231,101631935,15,29689586
2017,98516210,101631937,15,29689578
2017,98516246,101631935,15,29689600
2017,98516210,101631935,15,29689575
2017,98516246,101631937,15,29689602
2017,96563915,99647333,20,29095816
2017,97077782,100173156,1,29256354
2017,97078248,100173618,24,29256456
2017,97080189,100175568,24,29257012
2017,97080790,100176243,17,29257116
2017,97081162,100176633,1,29257185
2017,97081606,100177019,18,29257246
2017,97084504,100179948,1,29257824
2017,97084490,100179955,1,29257821
2017,97084487,100179955,1,29257817
2017,97084504,100179950,1,29257826
2017,97084490,100179948,1,29257818
2017,97084487,100179950,1,29257816
2017,97084490,100179950,25,29257820
2017,97084504,100179955,25,29257829
2017,97084487,100179948,25,29257814
2017,98248518,101363822,1,29618176
2017,98249224,101364566,12,29618411
2017,98249365,101364705,3,29618457
2017,98249380,101364730,1,29618468
2017,98249383,101364731,18,29618474
2017,98249383,101364730,1,29618473
2017,98249380,101364731,18,29618469
2017,98249380,101364727,1,29618466
2017,98249383,101364727,1,29618471
2017,98249556,101364939,18,29618532
2017,98249557,101364939,18,29618534
2017,98249552,101364939,18,29618531
2017,98250657,101366072,15,29618923
2017,98251286,101366704,1,29619072
2017,98251286,101366705,18,29619073
2017,98251783,101367206,16,29619132
2017,98252992,101368408,3,29619403
2017,98253523,101368956,18,29619493
2017,98253838,101369266,3,29619571
2017,98253882,101369316,24,29619584
2017,97121113,100216854,16,29271186
2017,97121101,100216850,16,29271180
2017,97121611,100217363,18,29271409
2017,97121611,100217365,18,29271414
2017,97121611,100217364,18,29271410
2017,97121860,100217638,1,29271507
2017,97122694,100218475,18,29271873
2017,97123366,100219149,18,29272149
2017,97123555,100219344,3,29272221
2017,97123901,100219680,19,29272306
2017,99328973,102451060,3,29942824
2017,98229500,101344262,16,29611203
2017,99366928,102488599,18,29953710
2017,97077751,100173138,1,29256345
2017,97077751,100173134,1,29256344
2017,99366892,102488599,18,29953691
2017,99366892,102488601,18,29953693
2017,97078589,100173947,21,29256582
2017,99366932,102488599,18,29953716
2017,99366927,102488601,18,29953708
2017,97079799,100175176,24,29256942
