"DATA_YEAR","VICTIM_ID","CIRCUMSTANCES_ID","JUSTIFIABLE_FORCE_ID"
2017,99381905,10,
2017,99381956,10,
2017,101327758,10,
2017,100755934,10,
2017,100762672,1,
2017,100762668,1,
2017,99925609,10,
2017,105347448,10,
2017,98257428,6,
2017,97110479,1,
2017,97120520,1,
2017,97120721,9,
2017,98230433,10,
2017,97761762,1,
2017,98852216,10,
2017,98853190,10,
2017,98857962,10,
2017,98848629,10,
2017,97796452,1,
2017,99906227,9,
2017,99906741,1,
2017,99907284,10,
2017,98515357,10,
2017,98509774,9,
2017,98513870,10,
2017,101277010,8,
2017,105958650,8,
2017,98845627,10,
2017,98855834,10,
2017,98846685,9,
2017,98860887,6,
2017,98241861,10,
2017,98255429,9,
2017,98504779,10,
2017,97804825,10,
2017,97802424,10,
2017,98511794,10,
2017,98518485,10,
2017,99879547,1,
2017,99886237,1,
2017,98500648,10,
2017,107109027,1,
2017,99347736,2,
2017,97121951,1,
2017,111295739,9,
2017,103737974,1,
2017,103792942,10,
2017,103787291,1,
2017,105321237,10,
2017,105335296,1,
2017,105335312,1,
2017,105323595,1,
2017,105323848,10,
2017,97119363,1,
2017,97123432,10,
2017,97109895,10,
2017,97118730,1,
2017,100748300,9,
2017,97124599,10,
2017,103794503,1,
2017,103734457,10,
2017,103786316,10,
2017,100761192,10,
2017,97110379,10,
2017,96599096,1,
2017,96594909,1,
2017,96596531,10,
2017,103790600,10,
2017,96566619,9,
2017,103783760,10,
2017,103729963,6,
2017,103778209,1,
2017,103783393,1,
2017,96593702,10,
2017,96594450,10,
2017,96595811,1,
2017,96254115,1,
2017,96593000,10,
2017,105322122,9,
2017,99911251,10,
2017,99391463,12,5
2017,99922332,10,
2017,99928298,2,
2017,100754992,10,
2017,99880937,1,
2017,99921003,10,
2017,99924005,10,
2017,105953205,8,
2017,101329089,10,
2017,101336990,9,
2017,101355479,10,
2017,101723922,6,
2017,101349918,9,
2017,101350113,10,
2017,101330574,10,
2017,101330584,10,
2017,101329498,10,
2017,101341017,10,
2017,101760139,10,
2017,101762502,10,
2017,101347354,10,
2017,101283172,1,
2017,101281675,1,
2017,101762549,1,
2017,98505334,1,
2017,97804455,10,
2017,98858656,10,
2017,98847074,10,
2017,99369714,9,
2017,98515651,1,
2017,101354116,10,
2017,98860908,10,
2017,99902667,9,
2017,99366932,10,
2017,97802077,10,
2017,98850781,1,
2017,98504376,9,
2017,99375176,9,
2017,97758952,10,
2017,98513873,1,
2017,97804818,1,
2017,97800784,10,
2017,97807878,1,
2017,98856235,10,
2017,98845369,10,
2017,98860324,6,
2017,98860686,10,
2017,98865027,10,
2017,98204370,10,
2017,105322134,10,
2017,105347218,9,
2017,111287365,9,
2017,111287372,1,
2017,110749580,1,
2017,99378716,10,
2017,99386294,10,
2017,100743602,1,
2017,99385855,10,
2017,99926689,1,
2017,99926788,1,
2017,107108429,9,
2017,105331208,10,
2017,99924281,10,
2017,99921901,1,
2017,99387843,10,
2017,99389273,1,
2017,100762631,10,
2017,99927733,10,
2017,105341866,10,
2017,105306230,1,
2017,98852227,10,
2017,97758000,6,
2017,98499999,10,
2017,97798315,9,
2017,98856186,1,
2017,98859807,10,
2017,99368775,10,
2017,98518471,10,
2017,98246632,1,
2017,98248494,10,
2017,99902820,10,
2017,99903788,6,
2017,98515655,1,
2017,98847034,10,
2017,98233590,1,
2017,97790577,9,
2017,105953434,10,
2017,105953604,10,
2017,98239053,10,
2017,98258919,6,
2017,98865497,10,
2017,105952291,9,
2017,97803578,10,
2017,98502788,10,
2017,98513084,1,
2017,98514247,1,
2017,97794043,1,
2017,98517177,10,
