"DATA_YEAR","ARRESTEE_ID","INCIDENT_ID","ARRESTEE_SEQ_NUM","ARREST_DATE","ARREST_TYPE_ID","MULTIPLE_INDICATOR","OFFENSE_TYPE_ID","AGE_ID","AGE_NUM","SEX_CODE","RACE_ID","ETHNICITY_ID","RESIDENT_CODE","UNDER_18_DISPOSITION_CODE","CLEARANCE_IND","AGE_RANGE_LOW_NUM","AGE_RANGE_HIGH_NUM"
2017,26925629,92073202,1,05-SEP-17,3,"N",51,5,37,"M",1,2,"","","",37,0
2017,26926470,92074856,1,23-SEP-17,3,"N",35,5,27,"F",1,2,"","","",27,0
2017,26926764,92075523,1,29-SEP-17,3,"N",51,5,26,"M",1,1,"","","",26,0
2017,26927269,92076478,1,21-JUL-17,3,"N",47,5,33,"M",1,2,"","","",33,0
2017,26929052,92080053,1,12-SEP-17,1,"N",13,5,35,"M",2,2,"","","",35,0
2017,26930380,92082816,1,04-AUG-17,1,"N",51,5,62,"F",1,2,"","","",62,0
2017,26940434,92114343,1,15-AUG-17,3,"N",5,5,37,"M",1,3,"","","",37,0
2017,26940529,92114657,1,11-AUG-17,3,"N",16,5,41,"F",1,3,"","","",41,0
2017,26940595,92114987,1,14-JUN-17,1,"C",21,5,29,"M",1,2,"","","",29,0
2017,26942704,92122008,1,07-SEP-17,2,"C",45,5,15,"M",1,2,"","R","",15,0
2017,26942708,92122067,1,20-AUG-17,2,"M",45,5,24,"F",1,2,"","","",24,0
2017,26942959,92123000,1,23-AUG-17,3,"M",45,5,44,"F",1,2,"","","",44,0
2017,26943100,92123282,1,24-AUG-17,2,"N",16,5,22,"M",2,2,"","","",22,0
2017,26943465,92124388,1,26-AUG-17,2,"M",23,5,49,"M",2,2,"","","",49,0
2017,26944343,92127800,1,31-AUG-17,1,"C",51,5,38,"M",2,2,"","","",38,0
2017,26945144,92131305,1,10-SEP-17,2,"N",51,5,21,"M",2,2,"","","",21,0
2017,26945271,92131778,1,12-SEP-17,2,"N",16,5,22,"M",2,2,"","","",22,0
2017,26945320,92131995,1,12-SEP-17,2,"C",51,5,18,"M",1,3,"","","",18,0
2017,26945338,92132072,1,13-SEP-17,1,"M",51,5,53,"F",2,2,"","","",53,0
2017,26945539,92133257,1,18-SEP-17,1,"C",28,5,31,"M",2,2,"","","",31,0
2017,26921821,92067110,1,09-SEP-17,2,"N",23,5,34,"M",1,2,"","","",34,0
2017,26921822,92067110,2,09-SEP-17,2,"N",23,5,33,"F",1,2,"","","",33,0
2017,26921836,92067137,1,09-SEP-17,3,"N",51,5,31,"M",1,2,"","","",31,0
2017,26922784,92068451,1,11-SEP-17,3,"N",39,5,28,"M",1,2,"","","",28,0
2017,26922861,92068578,1,21-SEP-17,3,"N",16,5,32,"M",1,2,"","","",32,0
2017,26925566,92073070,1,03-SEP-17,3,"N",51,5,30,"F",1,2,"","","",30,0
2017,26925866,92073629,1,09-SEP-17,3,"N",51,5,35,"M",1,2,"","","",35,0
2017,26925944,92073802,1,10-SEP-17,2,"N",45,5,47,"M",1,2,"","","",47,0
2017,27109960,92637639,1,04-SEP-17,1,"M",39,5,31,"M",2,2,"","","",31,0
2017,27109967,92637655,1,05-SEP-17,3,"C",16,5,35,"F",1,2,"","","",35,0
2017,27110184,92638679,1,17-SEP-17,2,"N",51,5,13,"M",4,2,"","R","",13,0
2017,27110258,92638965,1,18-SEP-17,1,"N",45,5,33,"F",2,2,"","","",33,0
2017,27110320,92639134,1,29-SEP-17,2,"N",51,5,17,"F",2,2,"","H","",17,0
2017,27110491,92639663,1,20-SEP-17,2,"N",15,5,39,"M",1,1,"","","",39,0
2017,27111116,92641585,1,25-SEP-17,2,"C",51,5,30,"F",2,2,"","","",30,0
2017,27111235,92642055,1,25-SEP-17,2,"N",45,5,53,"M",2,2,"","","",53,0
2017,27111578,92643287,1,27-SEP-17,1,"N",39,5,30,"M",2,2,"","","",30,0
