"DATA_YEAR","PROPERTY_ID","PROP_DESC_ID","PROPERTY_VALUE","DATE_RECOVERED","NIBRS_PROP_DESC_ID"
2017,101955486,11,2,,108443254
2017,101955823,19,61,19-JAN-17,108443700
2017,101955819,19,61,,108443695
2017,101955877,10,,,108443762
2017,101497012,16,450,,107850841
2017,101497012,63,250,,107850848
2017,101497012,4,400,,107850845
2017,101497071,38,50,,107850932
2017,101497153,63,50,,107851036
2017,101497153,48,56,,107851031
2017,101497153,49,80,,107851029
2017,101497153,6,420,,107851026
2017,101497153,13,600,,107851018
2017,101497199,7,50,,107851097
2017,101497429,38,1,,107851375
2017,101497548,13,500,,107851533
2017,101497612,51,0,,107851605
2017,101497612,61,400,,107851597
2017,101497612,25,650,,107851595
2017,101497612,6,100,,107851600
2017,101497612,63,0,,107851609
2017,101499498,63,6535,,107854009
2017,101499488,16,250,,107853995
2017,101499488,63,925,,107853994
2017,101500036,22,0,,107854737
2017,101500476,9,0,,107855360
2017,102253624,42,25,,108833582
2017,102254304,47,0,,108834461
2017,102580634,36,1180,,109265771
2017,102580636,36,1180,01-MAR-18,109265774
2017,102580636,63,275,01-MAR-18,109265775
2017,102580634,63,275,,109265773
2017,101488228,38,1,,107839890
2017,101489094,21,943,,107841006
2017,101489117,26,275,,107841046
2017,101489117,63,800,,107841043
2017,101489462,20,450,,107841491
2017,101489523,19,1,,107841561
2017,101489635,21,315,,107841696
2017,101489645,19,102,,107841712
2017,101489747,63,3,,107841831
2017,101489756,6,31,14-DEC-17,107841837
2017,101489756,63,3,14-DEC-17,107841839
2017,101489747,6,31,,107841828
2017,101489853,20,3170,,107841941
2017,101489976,38,1,,107842122
2017,101490116,51,0,,107842327
2017,101490116,20,500,,107842311
2017,101490116,8,80,,107842317
2017,101490116,25,100,,107842315
2017,101490116,61,800,,107842318
2017,101490116,36,6,,107842319
2017,101490236,36,25,,107842460
2017,101490346,3,1000,,107842586
2017,101490347,3,1000,25-JAN-18,107842588
2017,101490379,3,4000,,107842626
2017,101490381,3,1,19-DEC-17,107842628
2017,101490409,36,850,,107842660
2017,101490409,4,900,,107842655
2017,101490409,63,70,,107842661
2017,101490434,52,0,,107842704
2017,101490851,63,20,,107843186
2017,101491004,31,1000,,107843363
2017,101491619,3,2,,107844090
2017,101491698,37,375,02-JAN-18,107844186
2017,101491695,37,1500,,107844183
2017,101491744,6,14,,107844249
2017,101491751,6,14,21-DEC-17,107844258
2017,101492219,17,20,23-DEC-17,107844828
2017,101492215,17,20,,107844822
2017,101492384,63,6300,,107845041
2017,101492868,3,1,,107845645
2017,101493075,63,2000,,107845894
2017,101493250,67,1,,107846106
2017,101493736,63,625,,107846696
2017,101494211,19,192,,107847277
2017,101494391,63,33,,107847504
2017,102595536,37,500,05-FEB-18,109285351
2017,102595534,37,1000,,109285348
2017,102253633,20,20,,108833593
2017,102253633,8,60,,108833587
2017,102256796,3,4000,,108837636
2017,102257016,63,20,,108837924
2017,102257023,36,1500,,108837929
2017,102258224,3,100,,108839432
2017,102258426,19,53,,108839677
2017,102258427,19,53,04-DEC-17,108839679
2017,101954671,15,1200,,108442247
2017,101954892,17,3090,,108442530
2017,101954892,63,2075,,108442533
2017,101955127,63,72901,,108442808
2017,101955133,54,50,,108442814
2017,101955181,17,3491,,108442879
2017,101955467,3,1,02-MAR-17,108443238
2017,101955459,3,11000,,108443232
2017,101955482,29,27500,,108443261
2017,101955564,63,80,,108443384
2017,101955558,27,60,,108443375
2017,101955689,63,700,,108443537
2017,101956133,20,343,,108444078
2017,101956234,21,1,,108444197
2017,101956254,21,43,,108444226
2017,101956297,13,600,,108444275
2017,101956438,11,1,,108444453
2017,101956731,10,,,108444790
2017,101956813,31,500,,108444878
2017,101957950,19,80,05-JUN-17,108446314
2017,101957947,19,80,,108446309
2017,101957944,63,600,,108446301
2017,101957944,66,100,,108446306
2017,101957944,36,200,,108446305
2017,101957998,10,,,108446368
2017,101958047,19,6,,108446421
2017,101958112,63,300,,108446490
2017,101958372,11,1,,108446813
2017,101958425,38,1000,,108446879
2017,101958427,3,500,,108446881
2017,101958434,63,511,,108446889
2017,101958462,63,5110,,108446919
2017,101958483,63,0,,108446947
2017,101958502,63,150,,108446967
2017,101958536,38,70,,108447003
2017,101958606,10,,,108447088
2017,101958632,16,50,,108447124
2017,101958632,7,300,,108447117
2017,101958632,20,368,,108447114
2017,101959070,3,500,,108447624
2017,101959082,11,1,,108447637
2017,101959082,10,,,108447638
2017,101959134,11,1,,108447701
2017,101959134,10,,,108447702
2017,101959243,63,50,,108447822
2017,101959266,19,241,,108447848
2017,101959270,19,241,26-AUG-17,108447852
2017,101959337,36,6882,,108447932
2017,101959460,63,2000,,108448064
2017,101959516,52,0,,108448129
2017,101959544,3,2500,05-SEP-17,108448165
2017,101959540,3,2500,,108448160
2017,101959625,11,1,,108448249
2017,101959674,10,,,108448304
2017,101959690,11,1,,108448323
2017,101959690,10,,,108448326
2017,101959772,19,135,17-SEP-17,108448433
2017,101959769,19,135,,108448429
2017,101959775,15,21500,,108448438
2017,101959800,3,20000,,108448466
2017,101959809,3,20000,08-OCT-17,108448474
2017,101959857,19,106,22-SEP-17,108448530
2017,101959851,19,106,,108448524
2017,101959874,29,1418,,108448545
2017,101959877,57,2800,,108448553
2017,101960023,38,50,,108448716
2017,101960457,10,,,108449237
2017,101960499,11,1,,108449289
2017,101960521,42,300,,108449314
2017,101960540,10,,,108449330
2017,101960609,2,101,,108449407
2017,101960589,11,1,,108449382
2017,101960616,2,101,27-OCT-17,108449420
2017,101960589,10,,,108449381
2017,101960596,6,200,,108449399
2017,101960661,19,622,,108449480
2017,101960666,19,622,06-NOV-17,108449490
2017,101960754,10,1,,108449584
2017,101960814,3,7000,22-NOV-17,108449658
2017,101960802,3,7000,,108449649
2017,101960842,19,150,,108449696
2017,101960844,19,149,22-NOV-17,108449698
2017,101960882,11,1,,108449743
2017,101960952,19,565,,108449826
2017,101960968,11,1,,108449843
2017,101961023,38,200,,108449910
2017,101961052,11,2,,108449937
2017,101961055,24,1000,,108449939
2017,101961111,3,200,,108450018
2017,101961107,38,300,,108450007
2017,101961181,11,1,,108450097
2017,101961180,7,360,,108450095
2017,101961290,63,0,,108450213
2017,101961311,42,14,,108450239
2017,102594435,13,728,,109283943
2017,102594462,21,4950,,109283981
2017,101969822,3,500,,108460868
2017,101969868,10,,,108460922
2017,101969865,3,90,,108460919
2017,101998605,29,250,,108498669
2017,101998955,38,1,,108499165
2017,101998960,38,1,06-FEB-18,108499169
2017,102002127,63,1200,,108503316
2017,102002127,16,3300,,108503311
2017,102002117,63,300,,108503304
2017,101956022,11,1,,108443940
2017,101956184,20,321,,108444131
2017,101964461,43,40,,108454231
2017,101965168,10,,,108455092
2017,101967299,63,54,,108457712
2017,101967346,21,1,,108457768
2017,101967346,51,0,,108457773
2017,101967346,25,20,,108457766
2017,101967346,9,0,,108457772
2017,101967396,6,127,,108457850
2017,101967388,6,127,15-SEP-17,108457836
2017,101967391,11,1,,108457839
2017,101967460,63,560,,108457928
2017,101967460,20,100,,108457930
2017,101967629,3,2,,108458130
2017,101968060,2,219,,108458674
2017,101968193,63,10,,108458836
2017,101968363,11,1,,108459050
2017,101968363,10,,,108459053
2017,101968373,11,2,,108459057
2017,101968373,10,,,108459061
2017,101968601,20,101,,108459313
2017,101968601,25,5,,108459315
2017,101968622,51,0,,108459341
2017,101990167,20,100,,108487406
2017,101990224,36,1,,108487470
2017,101990224,51,0,,108487475
2017,101990224,25,20,,108487467
2017,101990224,47,0,,108487472
2017,101990224,63,0,,108487477
2017,101990224,61,800,,108487468
2017,101990579,7,250,,108487954
2017,101990579,38,1,,108487957
2017,101990766,39,305,,108488182
2017,101990766,64,2100,,108488181
2017,102293997,38,4,,108887016
2017,102563748,22,0,,109244213
2017,101956347,19,23,08-MAR-17,108444331
2017,101956340,19,23,,108444323
2017,101956543,20,52,,108444577
2017,101956572,19,38,17-MAR-17,108444610
2017,101956569,19,38,,108444607
2017,101956730,63,15,,108444791
2017,101956782,36,193,,108444847
2017,101956839,2,90,,108444912
2017,101956839,20,400,,108444907
2017,101957068,20,500,,108445177
2017,101957068,51,0,,108445181
2017,101957068,9,0,,108445179
2017,101957175,19,67,24-APR-17,108445310
2017,101957172,19,67,,108445308
2017,101957881,3,11000,,108446238
2017,101957886,3,11000,04-JUN-17,108446243
2017,101957951,19,39,,108446315
2017,101957953,19,39,06-JUN-17,108446317
2017,101958072,9,0,,108446446
2017,101958193,36,1500,,108446593
2017,101958197,3,200,,108446601
2017,101958222,63,75,,108446628
2017,101958348,11,5,,108446780
2017,101958348,10,,,108446782
2017,101958409,11,1,,108446855
2017,101958409,10,,,108446857
2017,101958670,36,1000,,108447170
2017,101958807,19,102,30-JUL-17,108447323
2017,101958796,19,102,,108447315
2017,101958958,9,0,,108447498
2017,101959001,3,1000,,108447551
2017,101958998,63,900,,108447546
2017,101959009,3,1000,12-AUG-17,108447559
2017,101959055,19,42,,108447615
2017,101959052,11,1,,108447604
2017,101959059,19,42,13-AUG-17,108447618
2017,101959262,19,220,,108447845
2017,101959269,19,220,26-AUG-17,108447851
2017,101959416,3,1000,,108448020
2017,101959419,3,1000,04-SEP-17,108448023
2017,101959661,3,300,,108448291
2017,101959655,9,0,,108448285
2017,101959689,36,350,,108448327
2017,101959686,38,315,,108448320
2017,101959825,3,8500,,108448493
2017,101970078,8,1,,108461179
2017,101986064,25,80,,108481947
2017,101986064,63,0,,108481952
2017,101986112,61,500,,108482023
2017,101986112,25,20,,108482024
2017,101986233,17,2000,,108482222
2017,101986262,61,1,02-SEP-17,108482261
2017,101986258,61,1,,108482258
2017,101986345,20,12,,108482364
2017,101986345,51,0,,108482366
2017,101986345,25,5,,108482365
2017,101986541,10,,,108482611
2017,101986557,63,20,,108482640
2017,101986814,20,700,,108482979
2017,101986817,21,1,,108483012
2017,101986855,38,5,19-JAN-18,108483062
2017,101986852,38,6,,108483060
2017,101986868,9,0,,108483084
2017,101986868,6,1,,108483083
2017,101986868,63,1000,,108483082
2017,101986868,7,3000,,108483074
2017,101986869,6,1,02-NOV-17,108483086
2017,101986869,7,1000,02-NOV-17,108483085
2017,101986868,25,40,,108483081
2017,101986900,20,220,,108483123
2017,101986900,63,30,,108483124
2017,101986920,51,0,,108483153
2017,101986920,38,1,,108483148
2017,101986920,9,0,,108483151
2017,101986920,63,1,,108483150
2017,101986920,25,1,,108483146
2017,102258170,19,82,,108839364
2017,102258175,19,82,20-APR-17,108839369
2017,102258168,19,372,22-MAY-17,108839361
2017,102258162,19,372,,108839356
2017,102258812,19,207,,108840177
2017,102258812,20,1350,,108840172
2017,102565865,8,200,,109246984
2017,101459555,11,1,,107805026
2017,101459555,10,,,107805030
2017,101459624,20,363,,107805101
2017,101459624,52,0,,107805110
2017,101459722,22,0,,107805221
2017,101459781,10,,,107805294
2017,101459840,52,0,,107805381
2017,101461109,8,185,,107807137
2017,101461110,63,3000,,107807141
2017,101461107,63,300,,107807135
2017,101461110,7,2800,,107807138
2017,101461110,17,4600,,107807139
2017,101461110,20,2080,,107807140
2017,101461164,8,245,,107807206
2017,101461246,25,20,,107807312
2017,101461246,20,300,,107807309
2017,101461331,3,12000,,107807404
2017,101461331,25,10,,107807417
2017,101461331,20,65,,107807414
2017,101461331,51,0,,107807420
2017,101461317,3,12000,12-DEC-17,107807401
2017,101461331,9,0,,107807409
2017,101461356,3,5000,17-DEC-17,107807449
2017,101461370,63,15,,107807469
2017,101461370,66,15,,107807470
2017,101461370,10,20,,107807464
2017,101461370,3,5000,,107807455
2017,101461370,25,10,,107807467
2017,101461842,29,100,,107808097
2017,101461867,16,129,,107808135
2017,101461867,42,405,,107808133
2017,101461867,63,70,,107808136
2017,101461944,6,2080,,107808241
2017,101461991,20,20,,107808303
2017,101462706,11,10,,107809224
2017,101462706,10,,,107809226
2017,101462824,10,,,107809387
2017,101462824,11,3,,107809383
2017,101462837,63,3,,107809402
2017,101462841,25,18,12-NOV-17,107809409
2017,101462840,10,,,107809407
2017,101462834,25,18,,107809398
2017,101474352,10,,,107823358
2017,101954921,63,1000,,108442559
2017,101955116,3,500,,108442791
2017,101955129,20,146,,108442810
2017,101955185,63,600,,108442882
2017,101955323,38,600,,108443052
2017,101955341,19,439,,108443077
2017,101955574,38,1300,,108443401
2017,101955580,63,75,,108443406
2017,101955614,11,1,,108443437
2017,101955614,10,,,108443440
2017,101955713,21,1,,108443570
2017,101955753,19,136,,108443615
2017,101955760,19,136,30-JAN-17,108443622
2017,101955789,33,1,,108443661
2017,101955870,10,,,108443754
2017,101955871,19,25,01-FEB-17,108443756
