"DATA_YEAR.x" "INCIDENT_ID" "PROP_LOSS_NAME" "PROP_LOSS_DESC" "PROPERTY_VALUE" "PROP_DESC_NAME"
"99" 2017 88884949 "Stolen/Etc" "Stolen/Etc. (includes bribed, defrauded, embezzled, extorted, ransomed, robbed, etc.)" 200 "Other"
"100" 2017 88885001 "Stolen/Etc" "Stolen/Etc. (includes bribed, defrauded, embezzled, extorted, ransomed, robbed, etc.)" 100 "Firearms"
"101" 2017 88885024 "Stolen/Etc" "Stolen/Etc. (includes bribed, defrauded, embezzled, extorted, ransomed, robbed, etc.)" 100 "Consumable Goods"
"102" 2017 88885048 "Destroyed/Damaged/Vandalized" "Destroyed/Damaged/Vandalized" 1 "Other"
"103" 2017 90114770 "Seized" "Seized (to impound property that was not previously stolen)" 1 "Drug Equipment"
"104" 2017 90114770 "Seized" "Seized (to impound property that was not previously stolen)" NA "Drugs/ Narcotics"
"105" 2017 90114951 "Seized" "Seized (to impound property that was not previously stolen)" 1 "Drug Equipment"
"106" 2017 90114951 "Seized" "Seized (to impound property that was not previously stolen)" NA "Drugs/ Narcotics"
"107" 2017 90114967 "Stolen/Etc" "Stolen/Etc. (includes bribed, defrauded, embezzled, extorted, ransomed, robbed, etc.)" 200 "Purse/ Wallet"
"108" 2017 90114967 "Stolen/Etc" "Stolen/Etc. (includes bribed, defrauded, embezzled, extorted, ransomed, robbed, etc.)" 0 "Credit/ Debit cards"
"109" 2017 90115091 "Seized" "Seized (to impound property that was not previously stolen)" 1 "Drug Equipment"
"110" 2017 90114758 "Seized" "Seized (to impound property that was not previously stolen)" NA "Drugs/ Narcotics"
"111" 2017 90114800 "Stolen/Etc" "Stolen/Etc. (includes bribed, defrauded, embezzled, extorted, ransomed, robbed, etc.)" 100 "Clothes/ Furs"
"112" 2017 90114800 "Stolen/Etc" "Stolen/Etc. (includes bribed, defrauded, embezzled, extorted, ransomed, robbed, etc.)" 50 "Other"
"113" 2017 90114816 "Stolen/Etc" "Stolen/Etc. (includes bribed, defrauded, embezzled, extorted, ransomed, robbed, etc.)" 2800 "Other"
"114" 2017 90114816 "Stolen/Etc" "Stolen/Etc. (includes bribed, defrauded, embezzled, extorted, ransomed, robbed, etc.)" 1385 "Tools"
"115" 2017 90114950 "Seized" "Seized (to impound property that was not previously stolen)" NA "Drugs/ Narcotics"
"116" 2017 90115078 "Stolen/Etc" "Stolen/Etc. (includes bribed, defrauded, embezzled, extorted, ransomed, robbed, etc.)" 648 "Merchandise"
"117" 2017 90115113 "Stolen/Etc" "Stolen/Etc. (includes bribed, defrauded, embezzled, extorted, ransomed, robbed, etc.)" 600 "Other"
"118" 2017 90115125 "Seized" "Seized (to impound property that was not previously stolen)" NA "Drugs/ Narcotics"
"119" 2017 88884841 "Seized" "Seized (to impound property that was not previously stolen)" 1 "Drug Equipment"
"120" 2017 88884841 "Seized" "Seized (to impound property that was not previously stolen)" NA "Drugs/ Narcotics"
"121" 2017 88884929 "Seized" "Seized (to impound property that was not previously stolen)" NA "Drugs/ Narcotics"
"122" 2017 88884959 "Seized" "Seized (to impound property that was not previously stolen)" NA "Drugs/ Narcotics"
"123" 2017 88884959 "Seized" "Seized (to impound property that was not previously stolen)" 1 "Drug Equipment"
"124" 2017 88884985 "Stolen/Etc" "Stolen/Etc. (includes bribed, defrauded, embezzled, extorted, ransomed, robbed, etc.)" 1019 "Money"
"125" 2017 88885054 "Stolen/Etc" "Stolen/Etc. (includes bribed, defrauded, embezzled, extorted, ransomed, robbed, etc.)" 3000 "Other"
"126" 2017 90849198 "Seized" "Seized (to impound property that was not previously stolen)" 1 "Drug Equipment"
"127" 2017 90849229 "Counterfeited/Forged" "Counterfeited/Forged" 200 "Negotiable Instruments"
