"DATA_YEAR","SUSPECT_USING_ID","OFFENSE_ID"
2017,4,110534061
2017,4,110534254
2017,4,110534276
2017,4,110534410
2017,4,110534414
2017,4,110534547
2017,4,110534576
2017,4,110534572
2017,4,110534601
2017,4,110534617
2017,4,110534818
2017,4,110534832
2017,4,110534952
2017,4,110534994
2017,4,110535058
2017,4,110535055
2017,4,110543977
2017,4,110544008
2017,4,110544012
2017,4,110544014
2017,4,110547409
2017,4,110547445
2017,3,110547514
2017,4,110547991
2017,4,110548019
2017,4,110548070
2017,4,110548071
2017,4,110548153
2017,4,110548156
2017,4,110548467
2017,4,110549167
2017,4,110549486
2017,4,110549487
2017,4,110549786
2017,4,110549996
2017,1,110550152
2017,4,110552480
2017,4,110552638
2017,4,110552713
2017,4,110552749
2017,4,110552866
2017,4,110552899
2017,4,110552962
2017,4,110552961
2017,4,110553035
2017,3,110553051
2017,4,110553057
2017,3,110553058
2017,3,110553060
2017,4,110553199
2017,4,110553203
2017,4,110553407
2017,4,110553404
2017,4,110553462
2017,4,110553513
2017,4,110553528
2017,4,110553529
2017,4,110555019
2017,4,110555089
2017,4,110555161
2017,4,110555203
2017,4,110555250
2017,4,110555275
2017,4,110555317
2017,4,110555349
2017,4,110556744
2017,4,110556749
2017,4,110556792
2017,4,110557552
2017,4,110557589
2017,4,110557640
2017,4,110557701
2017,4,110557752
2017,4,110557851
2017,4,110557881
2017,4,110557971
2017,4,110558290
2017,4,110558320
2017,1,110558343
2017,4,110558433
2017,4,110558448
2017,4,110558604
2017,4,110558612
2017,4,110558637
2017,4,110558800
2017,4,110558880
2017,4,110559280
2017,4,110559461
2017,4,110559504
2017,4,110559678
2017,4,110559755
2017,4,110559808
2017,4,110559829
2017,4,110559933
2017,4,110560064
2017,4,110560082
2017,4,110560120
2017,4,110560182
2017,4,110560207
2017,4,110560264
2017,4,110560307
2017,4,110560391
2017,4,110560455
2017,4,110561682
2017,4,110561687
2017,4,110561951
2017,4,110562342
2017,4,110562382
2017,4,110562420
2017,4,110562490
2017,4,110562830
2017,4,110562922
2017,4,110562933
2017,4,110562971
2017,4,110563007
2017,4,110563170
2017,4,110564788
2017,4,110564805
2017,4,110565133
2017,4,121676832
2017,4,121676835
2017,4,114373017
2017,4,114373072
2017,4,114373078
2017,4,114373103
2017,4,114373128
2017,4,114373216
2017,4,114373425
2017,4,114373317
2017,2,114373232
2017,4,114373197
2017,4,114373199
2017,4,114373208
2017,4,114373239
2017,4,114373369
2017,4,114373266
2017,4,114373247
2017,4,114373250
2017,4,114373287
2017,4,114373324
2017,4,114373408
2017,4,114373429
2017,4,114373430
2017,4,114373433
2017,3,114373551
2017,3,114373552
2017,4,114373613
2017,4,114373752
2017,4,114373783
2017,3,114373820
2017,3,114373826
2017,4,114373840
2017,4,114373907
2017,4,121678055
2017,4,114373922
2017,3,114374244
2017,4,114374230
2017,4,114374218
2017,4,114374329
2017,4,114374356
2017,4,114374359
2017,4,114374363
2017,4,114374361
2017,1,114374521
2017,3,114374613
2017,4,114374628
2017,4,114374667
2017,3,114374705
2017,3,114374723
2017,3,114374727
2017,3,114374762
2017,3,114374764
2017,4,114374809
2017,3,114374812
2017,3,114375044
2017,4,114375051
2017,4,114375050
2017,4,114375054
2017,4,114375148
2017,4,114375153
2017,4,114375237
2017,4,114375296
2017,4,114375317
2017,3,114375302
2017,3,114375297
2017,4,114375466
2017,4,114375482
2017,2,114375508
2017,4,114375506
2017,4,114375524
2017,4,114375528
2017,4,114375558
2017,4,114375562
2017,4,114375561
2017,4,114375599
2017,4,114375600
2017,4,114375607
2017,4,114375602
2017,4,114375664
2017,4,114390148
2017,4,114390167
2017,4,114390182
2017,4,114390208
2017,4,114390212
2017,4,114390415
2017,4,114390465
2017,4,114390367
2017,4,114390412
2017,4,114390411
2017,4,114390466
2017,4,114390645
2017,4,114390535
2017,4,114390638
2017,4,114390805
