"DATA_YEAR","SUSPECTED_DRUG_TYPE_ID","PROPERTY_ID","EST_DRUG_QTY","DRUG_MEASURE_TYPE_ID","NIBRS_SUSPECTED_DRUG_ID"
2017,12,97538677,0.43,1,8135493
2017,12,97540049,0.46,1,8135645
2017,16,97546606,0.31,1,8136394
2017,5,97546606,3.34,1,8136393
2017,17,97552104,,,8137261
2017,16,97642592,0.3,1,8153651
2017,5,97651581,2.27,3,8154718
2017,12,97540244,0.54,1,8135669
2017,5,97517376,0.071,3,8132583
2017,5,97522076,0.76,3,8133139
2017,12,97543537,0.38,1,8136004
2017,12,97498582,0.2,1,8129972
2017,5,97505319,6.1,1,8131026
2017,5,97511050,0.06,3,8131777
2017,12,97529715,0.7,1,8134154
2017,5,97530003,0.25,1,8134189
2017,17,97554008,,,8137704
2017,1,97717930,3.9,1,8163401
2017,5,97717930,8,1,8163402
2017,12,97730079,2.8,1,8165157
2017,2,97649428,4.2,1,8154417
2017,8,97649428,0.2,1,8154418
2017,1,97656384,0.2,1,8155350
2017,5,97669402,5.125,3,8156795
2017,16,97677870,0.26,1,8157804
2017,5,97498207,0.5,1,8129908
2017,16,97521504,0.05,1,8133031
2017,2,97522727,0.4,1,8133265
2017,4,97522727,2.2,1,8133264
2017,16,97532602,3,9,8134659
2017,12,97532602,0.42,1,8134658
2017,17,97552682,,,8137407
2017,5,97673607,0.15,3,8157255
2017,5,97689226,0.052,3,8159006
2017,12,97704000,0.8,1,8161094
2017,12,97564454,0.003,1,8139256
2017,5,97567283,1.1,3,8139837
2017,5,97731466,0.11,3,8165651
2017,5,97489564,27,1,8128353
2017,5,97513003,0.18,3,8132052
2017,5,97519094,0.01,1,8132785
2017,17,97552552,,,8137373
2017,5,97651695,0.145,3,8154728
2017,12,97658838,6.6,1,8155692
2017,4,97660066,0.132,1,8155847
2017,4,97663262,0.4,1,8156125
2017,12,97702276,1.4,1,8160887
2017,12,97702276,1,11,8160888
2017,16,97702276,17,9,8160890
2017,4,97703665,1,11,8161064
2017,5,97577476,2,3,8141380
2017,5,97586990,0.13,3,8142909
2017,5,97592866,1.85,3,8143911
2017,13,97604905,2.8,1,8146148
2017,5,97621179,0.9,1,8149336
2017,5,97598507,0.024,3,8144950
2017,5,97621885,0.165,1,8149455
2017,16,97637558,0.01,3,8152612
2017,5,97707148,0.79,3,8161412
2017,5,97722883,2,3,8164096
2017,17,97552550,,,8137374
2017,17,97554626,,,8137838
2017,17,97555273,,,8137996
2017,12,97557727,1.2,1,8138522
2017,12,97490846,0.1,1,8128604
2017,17,97490846,0.1,3,8128603
2017,5,97493577,0.01,3,8129120
2017,5,97504284,3.2,1,8130895
2017,5,97557173,0.27,3,8138331
2017,2,97557466,0.3,1,8138435
2017,5,97601279,0.02,3,8145610
2017,5,97603300,0.051,3,8145898
2017,5,97598827,0.105,3,8145036
2017,5,97636768,0.97,3,8152379
2017,5,97644777,0.1,3,8153862
2017,5,97648293,0.01,3,8154269
2017,1,97652113,0.5,1,8154773
2017,2,97652242,0.66,1,8154788
2017,5,97650660,0.07,3,8154594
2017,2,97655885,1.6,1,8155276
2017,5,97691682,2.11,3,8159323
2017,16,97637416,0.01,3,8152568
2017,5,97647300,0.4,3,8154167
2017,2,97647300,1.3,1,8154166
2017,5,97660155,0.17,3,8155853
2017,5,97487522,0.22,3,8128101
2017,12,97499279,7.9,1,8130096
2017,17,97553472,,,8137585
2017,1,97648450,0.1,1,8154284
2017,12,97656715,0.753,1,8155408
2017,18,97664997,,,8156294
2017,12,97664997,3.2,1,8156292
2017,5,97664997,0.16,3,8156293
2017,12,97669935,0.7,1,8156832
2017,1,97669935,2.5,1,8156831
2017,16,97540162,2,9,8135664
2017,3,97557362,5.98,1,8138399
2017,5,97557362,0.118,3,8138400
2017,13,97567882,0.01,1,8139987
2017,12,97533645,4.57,1,8134822
2017,5,97614595,2,1,8147686
2017,5,97620861,1.5,1,8149263
2017,12,97624176,1.8,1,8149911
2017,12,97624770,1.7,1,8150012
2017,5,97624770,0.4,1,8150014
2017,16,97624770,10,9,8150015
2017,5,97627248,1,1,8150477
2017,1,97627284,0.5,1,8150483
2017,5,97698309,0.3,1,8160415
2017,12,97701214,1,1,8160757
2017,5,101807252,,,8770946
2017,5,101808232,19.7,1,8771212
2017,5,101838522,1,3,8776640
2017,5,101839288,2.1,3,8776706
2017,12,101839467,0.4,1,8776811
2017,12,101839505,2.2,1,8776849
2017,5,101839969,0.08,3,8776896
2017,5,101840933,3.33,3,8777013
2017,5,101765993,,,8765160
2017,5,101811436,0.1,3,8771905
2017,5,101812142,1.5,1,8772053
2017,5,101772703,1,1,8766155
2017,5,101772719,18.2,1,8766163
2017,5,101775036,24.2,1,8766424
