"DATA_YEAR","VICTIM_ID","OFFENDER_ID","RELATIONSHIP_ID","NIBRS_VICTIM_OFFENDER_ID"
2017,100630478,103773226,3,30345947
2017,100630628,103773384,1,30346003
2017,100631036,103773789,16,30346146
2017,100631632,103774396,3,30346378
2017,100631632,103774394,25,30346376
2017,100631634,103774394,3,30346380
2017,100631634,103774396,25,30346381
2017,100631785,103774560,26,30346431
2017,100631808,103774577,1,30346446
2017,100631868,103774644,3,30346462
2017,100631929,103774704,21,30346488
2017,100632303,103775100,1,30346610
2017,100632303,103775101,1,30346612
2017,100632459,103775261,16,30346673
2017,100632740,103775550,1,30346749
2017,100632959,103775785,3,30346842
2017,100632994,103775823,1,30346856
2017,100633910,103776783,1,30347206
2017,100633911,103776783,1,30347208
2017,100633908,103776783,1,30347204
2017,100633958,103776829,25,30347226
2017,100633963,103776827,16,30347228
2017,100633963,103776829,23,30347227
2017,100633958,103776827,16,30347225
2017,100634056,103776941,19,30347255
2017,100634074,103776953,1,30347268
2017,100634136,103777015,1,30347285
2017,100634230,103777117,5,30347326
2017,100634375,103777259,1,30347379
2017,100634379,103777259,3,30347380
2017,100634466,103777356,25,30347414
2017,100634466,103777358,20,30347415
2017,100634467,103777356,22,30347416
2017,100634467,103777358,25,30347417
2017,100634561,103777460,3,30347446
2017,100634818,103777722,17,30347545
2017,100634842,103777740,24,30347555
2017,100635079,103777975,1,30347636
2017,100635370,103778274,5,30347741
2017,100635376,103778274,25,30347745
2017,100635376,103778273,17,30347744
2017,100635370,103778273,25,30347740
2017,100635767,103778695,1,30347887
2017,100635858,103778783,3,30347942
2017,100635933,103778850,19,30347966
2017,100636001,103778921,24,30347992
2017,100637219,103780191,3,30348375
2017,100637256,103780231,3,30348389
2017,100637407,103780390,21,30348415
2017,100637404,103780390,13,30348414
2017,100637446,103780422,3,30348437
2017,100637498,103780474,17,30348451
2017,100637562,103780538,1,30348471
2017,100637601,103780572,3,30348488
2017,100637601,103780571,25,30348487
2017,100637605,103780572,25,30348490
2017,100637605,103780571,3,30348489
2017,100637634,103780611,1,30348498
2017,100638540,103781527,18,30348777
2017,100638536,103781525,18,30348770
2017,100638540,103781526,18,30348776
2017,100638534,103781525,18,30348764
2017,100638534,103781527,18,30348767
2017,100638536,103781523,18,30348769
2017,100638536,103781520,18,30348768
2017,100638540,103781525,18,30348775
2017,100638534,103781523,18,30348763
2017,100638536,103781526,18,30348771
2017,100638534,103781520,18,30348761
2017,100638540,103781523,18,30348774
2017,100638540,103781520,18,30348773
2017,100638536,103781527,18,30348772
2017,100638534,103781526,18,30348765
2017,100638922,103781978,3,30348861
2017,100638931,103781985,18,30348866
2017,100638953,103781998,24,30348871
2017,100639388,103782459,16,30348996
2017,100639388,103782463,16,30348997
2017,100639496,103782574,3,30349027
2017,100639548,103782630,17,30349041
2017,100639647,103782731,24,30349068
2017,100639723,103782818,6,30349080
2017,100639981,103783073,24,30349124
2017,100640077,103783166,24,30349183
2017,100640181,103783273,1,30349260
2017,100640210,103783297,1,30349280
2017,100640223,103783309,16,30349292
2017,100640233,103783324,24,30349301
2017,100640257,103783339,18,30349313
2017,100640297,103783380,24,30349347
2017,100640304,103783387,18,30349353
2017,100640332,103783417,18,30349370
2017,100640349,103783434,16,30349380
2017,100640379,103783461,18,30349398
2017,100640428,103783507,18,30349432
2017,100640553,103783624,1,30349517
2017,100640575,103783644,18,30349533
2017,100641024,103784114,18,30349653
2017,100641150,103784239,24,30349672
2017,100641408,103784480,1,30349749
2017,100641542,103784617,1,30349787
2017,100641598,103784677,12,30349805
2017,100641842,103784902,3,30349867
2017,100641938,103785001,24,30349890
2017,100642017,103785079,1,30349903
2017,100642048,103785108,24,30349913
2017,100642126,103785185,3,30349932
