"","text","media"
"50","«Ламонов и ребята», высокопоставленное лицо и экс-глава СК по ЦАО в поисках «денежной темы». <br><br>Арестованный экс-замглавы московского Следственного комитета Денис Никандров сегодня в суде рассказал, как решался вопрос об освобождении соратника Шакро Молодого и кто в этом участвовал","mediazona_post50"
"51","В Крыму активист получил 10 суток ареста за фотографии с символикой «Хизб ут-Тахрир». Еще одного активиста за эту символику оштрафовали","mediazona_post51"
"52","Студент должен выполнять устав учебного заведения, в котором он хочет получать знания, считает преподаватель МГУ","mediazona_post52"
"53","Суд оштрафовал жителя Архангельска Михаила Листова за публикацию фотографии с парада Победы 1945 года, на котором советские солдаты держат опущенные немецкие знамена","mediazona_post53"
"54","Друзья!<br><br>Читеры ломают рейтинг нашей игры, но честные игроки пусть не переживают — в конце каждого дня мы будем сравнивать настоящие итоги и награждать победителей.<br><br>Помните: для победы нужно как можно быстрее набрать очки и заполнить прогресс-бар. Удачи!","mediazona_post54"
"55","Муж годами избивал жительницу Находки, а полицейские не пытались на это повлиять, несмотря на ее обращения. Однажды он начал душить ее, и она несколько раз ударила его ножом.<br><br>На заседании суда у женщины спросили, «зачем она провоцировала пьяного агрессивного мужчину»","mediazona_post55"
"56","Просто две новости:<br><br>Казанские полицейские задержали пожилого мужчину из числа обманутых дольщиков<br><br>Сегодня в Казань с рабочим визитом приехал президент Владимир Путин","mediazona_post56"
"57","Ульяновские полицейские выясняют обстоятельства стрельбы в лицее №20. Никто из учеников, к счастью, не пострадал","mediazona_post57"
"58","Кинуть снежок в полицейского — статья 318 УК, до пяти лет лишения свободы. <br><br>Кинуть снежок в журналиста полицейский может просто так","mediazona_post58"
"59","В Белгороде полицейские пытаются проникнуть в штаб Навального и провести обыск после звонка какого-то «ответственного гражданина», который сказал, что в штабе хранят детское порно","mediazona_post59"
"60","Накануне анонсированной Навальным всероссийской акции протеста предлагаем всем отточить навыки в нашей новой крутой игре! Собирайте соратников, агитируйте, протестуйте и не попадитесь полицейским ;)<br><br>А лучшим игрокам каждый день до 1 февраля мы раздаём подарки из нашего магазина! <br><br>Всем удачи: https://zona.media/article/2018/01/25/games/protest","mediazona_post60"
"61","Из-за видео с шутками и мужским стриптизом из оренбургского Минлесхоза уволили людей, занимавших ключевые позиции. Теперь работа встала","mediazona_post61"
"62","В Японском море пропало рыболовное судно «Восток» с 20 моряками на борту. СК возбудил дело:<br><br>https://zona.media/news/2018/01/25/vostok","mediazona_post62"
"63","Ногу мальчику сломали в 2013 году, но мать пять лет не обращалась в правоохранительные органы, потому что боялась сожителя","mediazona_post63"
"64","Ранее сообщалось, что Муса Мусаев находится в статусе подозреваемого и его даже могут освободить","mediazona_post64"
"65","Следующий срок будет для Зорькина уже пятым подряд","mediazona_post65"
"66","Одна история удивительнее другой!<br><br>Сегодня стало известно, что показания против своего начальника, главы московского управления СК Александра Дрыманова, давал полковник Ламонов: теперь ФСБ хочет перевести его из-под стражи под домашний арест. Полковник признал вину и заключил сделку со следствием — а мы публикуем его рассказ о том, как он передавал начальнику деньги за помощь в освобождении криминального авторитета Итальянца: https://goo.gl/N4sqAs","mediazona_post66"
"67","Ещё не спите? Тогда ловите расшифровку нашего конспекта с прений по делу экс-губернатора Никиты Белых, которого прокуратура потребовала отправить в колонию строгого режима на десять лет!<br><br>Прокурор Марина Дятлова излагает фабулу обвинения: https://goo.gl/BQhnBu","mediazona_post67"
"68","Следователи располагают аудиозаписью, переданной через онлайн-рацию Zello, на которой якобы слышно голос арестованного Рамазанова","mediazona_post68"
"69","Сегодня выяснилось, что материалы в отношении главы московского СК Александра Дрыманова выделили в отдельное производство. Видимо, по ним и было принято решение об отказе в возбуждении дела о взятке за помощь в освобождении криминального авторитета.<br><br>Феодализм как он есть","mediazona_post69"
"70","Братьев Мильченко отправили в колонию на год за применение насилия к представителям власти. Суд посчитал сбитые об активистов кулаки телесным повреждением","mediazona_post70"
"71","В «Мемориале» уверены, что после «неоднократных оскорбительных и угрожающих высказываний» Кадырова в адрес правозащитников Титиев не сможет надеяться на справедливое расследование в Чечне","mediazona_post71"
"72","В «Матросской тишине» идут прения по делу Белых, но рассказать о ходе заседания мы сможем только после окончания — журналистам по-прежнему нельзя проносить в СИЗО технику. <br><br>Пока на прениях выступают стороны обвинения и защиты, почитайте, как прошла первая часть заседания — у нас подробный конспект и видео от прокуратуры https://zona.media/online/2018/01/24/belykh-31","mediazona_post72"
"73","!!! Прокуратура просит для Никиты Белых десять лет колонии строгого режима","mediazona_post73"
"74","Ещё немного хороших новостей:<br><br>Решение о выдворении журналиста Али Феруза из России отменено. Дело направили в Мосгорсуд на новое расмотрение","mediazona_post74"
"75","Последние новости о проблемах издания Russiangate после публикации расследования об элитной недвижимости главы ФСБ:<br><br>Издания больше нет, главред Александрина Елагина — уволена. Решается вопрос о возбуждении дела по «экстремистской» статье","mediazona_post75"
"76","До новой акции сторонников Навального оставалось четыре дня:<br><br>— В штаб Навального в Туле привезли новые листовки, и уже через десять минут туда пришла полиция <br><br>— Водителя, который вез листовки в московский штаб Навального, задержали и увезли в СК. Связь с ним пропала <br><br>— Полицейские завалились в воронежский штаб Навального в поисках листовок, «порочащих честь президента» <br><br>— Сторонника Навального задержали на выходе из здания железнодорожного вокзала в Сочи и теперь оформляют как наркопотребителя","mediazona_post76"
"77","Солдат-срочник Андрей Рубцов погиб при пожаре в палатке во время учений в Алтайском крае. Он запутался в спальнике и не смог выбраться","mediazona_post77"
"78","Хоронили Сталина — порвали одно министерство культуры","mediazona_post78"
"79","О нет, как же так, жители Марьино и Люблино остались без референдума об объединении районов","mediazona_post79"
"80","КАРАУЛ!<br><br>😱😱😱<br><br>На склоне у Казанского кремля кто-то вытоптал слово «воры». Теперь полицейские ищут в этом состав преступления (нет, серьёзно)","mediazona_post80"
"81","Отличные новости по делу математика Дмитрия Богатова!<br><br>Эксперты МВД не нашли никаких доказательств его причастности к призывам к терроризму. Теперь адвокат Богатова ожидает, что в ближайшее время с математика снимут все обвинения","mediazona_post81"
"82","Girl power!<br><br>В Сосновом Бору парень хотел отнять у девочки мобильник, угрожая ей игрушечным пистолетом, но встретил сопротивление","mediazona_post82"
"83","Кто как проводит эту неделю, а вот Бастрыкин съездил в Сирию и договорился о передаче уголовных дел против россиян, уехавших в «Исламское государство»","mediazona_post83"
"84","Вот и ФСБ уже готова выступить с ходатайством о смягчении меры пресечения полковнику Ламонову, который дал показания против главы московского управления СК","mediazona_post84"
"85","Зачислять деньги на электронные кошельки и предоплаченные банковские карты можно будет исключительно с банковских счетов, никакой анонимности","mediazona_post85"
"86","По версии СК, двое одноклассников помогли подростку сделать бутылку с зажигательной смесью, а затем помогали во время нападения на учеников","mediazona_post86"
"87","Во вторник начался процесс по делу экс-начальника главного управления собственной безопасности СК Михаила Максименко. Фабула обвинения уже давно известна, но в обвинительном заключении нашлась любопытная подробность — оказывается, у ФСБ есть претензии и к главе московского управления СК Александру Дрыманову!<br><br>Из документа следует, что Дрыманов «за вознаграждение» помог криминальному авторитету по кличке Итальянец освободиться из-под стражи, но его процессуальный статус по этому делу до сих пор неизвестен. Наш корреспондент Никита Сологуб разобрался в этой истории — специально для полуночников: https://goo.gl/H5jmgu","mediazona_post87"
"88","Мединский — о комедии «Смерть Сталина» <br><br>Мы просто оставим это здесь","mediazona_post88"
"89","«Ашан» захватил Россию! Площадь всех магазинов — это примерно три Ватикана или половина Люксембурга. К своему пятнадцатилетию «Ашан» открыл флагманский магазин у Кремля.<br><br>Наши друзья из самиздата [club75219675|Батенька, да вы трансформер] выяснили, как этот гипермаркет стал мемом и получил местечко в сердце каждого. Бонус: издатель «Медиазоны» Пётр Верзилов рассказывает об акции арт-группы «Война» в «Ашане» и модно фотографируется в отделе овощей: https://goo.gl/DXQa3Z","mediazona_post89"
"90","Амина Автурханова из Чечни, которая пыталась добиться расследования исчезновения мужа, дала интервью ЧГТРК «Грозный»: «Я хочу обратиться ко всем тем, кто пишет, что меня якобы куда-то забирали, не выпустили и так далее. Все это неправда. Мне эти сплетни надоели, перестаньте писать про меня чушь»","mediazona_post90"
