"","title","director"
"211","Rob Roy","""Michael Caton-Jones"""
"212","About a Boy","[""Chris Weitz"",""Paul Weitz""]"
"213","Dark City","""Alex Proyas"""
"214","Freaky Friday","""Mark Waters"""
"215","Ever After: A Cinderella Story",NA
"216","Flatliners","""Joel Schumacher"""
"217","In Good Company","""Paul Weitz"""
"218","Original Sin","""Michael Cristofer"""
"219","Flipper","""Alan Shapiro"""
"220","The Passion of the Christ","""Mel Gibson"""
"221","Scooby-Doo 2: Monsters Unleashed",NA
"222","Freddy vs. Jason","""Ronny Yu"""
"223","Jimmy Neutron: Boy Genius","""John A. Davis"""
"224","Bridget Jones's Diary","""Sharon Maguire"""
"225","Chocolat",NA
"226","The Omen",NA
"227","Finding Neverland",NA
"228","Nothing to Lose",NA
"229","Beauty Shop","""Bille Woodruff"""
"230","Elizabeth","""Shekhar Kapur"""
"231","Bride of Chucky","""Ronny Yu"""
"232","Spice World","""Bob Spiers"""
"233","He Got Game","""Spike Lee"""
"234","Half Past Dead","""Don Michael Paul"""
"235","Bright Lights, Big City",NA
"236","Stealing Harvard","""Bruce McCulloch"""
"237","Michael Collins","""Neil Jordan"""
"238","Abandon","""Stephen Gaghan"""
"239","Tank Girl",NA
"240","King's Ransom","""Jeffrey W. Byrd"""
"241","I Still Know What You Did Last Summer","""Danny Cannon"""
"242","Bad Boys","""Michael Bay"""
"243","Joy Ride","""John Dahl"""
"244","Marvin's Room","""Jerry Zaks"""
"245","Ghost","""Jerry Zucker"""
"246","The Santa Clause","""John Pasquin"""
"247","The Rookie","""John Lee Hancock"""
"248","Derailed",NA
"249","RoboCop 3",NA
"250","The Libertine",NA
"251","Teenage Mutant Ninja Turtles III",NA
"252","The Rage: Carrie 2",NA
"253","Molly",NA
"254","The Best Little Whorehouse in Texas",NA
"255","Home Alone 2: Lost in New York",NA
"256","The Silence of the Lambs",NA
"257","Wayne's World",NA
"258","Premonition",NA
"259","Ghost Ship",NA
"260","Wild Things",NA
"261","High Fidelity",NA
"262","Eternal Sunshine of the Spotless Mind",NA
"263","Vampires",NA
"264","Psycho","""Gus Van Sant"""
"265","Pooh's Heffalump Movie","""Frank Nissen"""
"266","A Guy Thing","""Chris Koch"""
"267","Undisputed","""Walter Hill"""
"268","Three to Tango","""Damon Santostefano"""
"269","Superbabies: Baby Geniuses 2","""Bob Clark"""
"270","Princess Mononoke","""Hayao Miyazaki"""
"271","People I Know","""Daniel Algrant"""
"272","Sea of Love","""Harold Becker"""
"273","A Cinderella Story","""Mark Rosman"""
"274","Scream","""Wes Craven"""
"275","I Can Do Bad All By Myself","""Tyler Perry"""
"276","Spirited Away","""Hayao Miyazaki"""
"277","The Fall of the Roman Empire",NA
"278","The Amityville Horror","""Andrew Douglas"""
"279","Fear and Loathing in Las Vegas","""Terry Gilliam"""
"280","Mean Girls","""Mark Waters"""
"281","Honey","""Bille Woodruff"""
"282","Fame","""Kevin Tancharoen"""
"283","Small Time Crooks","""Woody Allen"""
"284","Center Stage","""Nicholas Hytner"""
"285","Life as a House","""Irwin Winkler"""
