ПП 2016,ПП 2015,Наименование компании,Бренды,Сайт,Ключевые собственники,Регион,Отрасль,"Вырчука, 2016 г.","Выручка, 2015 г.",Чистая прибыль 2016 г.,Чистая прибыль 2015 г.,Налог на прибыль 2016 г.,Налог на прибыль 2015 г.,"Оплата труда, 2016 г.","Оплата труда, 2015 г.","Инвестиции в ОС, 2016 г.","Инвестиции в ОС, 2015 г."
45,45,Автотор,"Автотор, BMW, Hyundai, Kia",avtotor.ru,NA,Калин. Обл.,Автомобилестроение,41287,36037,1175,NA1917,0,0,249,8,52,0
46,48,СодружествоNAСоя,Содружетсво,sodrugestvo.ru,Иностранная компания (Дания),Калин. Обл.,АПК,40982,34994,2572,NA162,0,0,626,495,130,117
47,46,Дочерние общества АО МХК Еврохим,"Еврохим
Ковдорский ГОК
Фосфорит",eurochemgroup.com,АО МХК Еврохим,СЗФО,Химическая промышленность,39730,36031,14863,11176,3544,130,4670,3052,5507,6106
48,39,Юлмарт,Юлмарт,investors.ulmart.ru,Граждане России,СПб,FMCG ритейл,39149,40242,NA261,289,28,222,930,999,301,134
49,49,Мултон,"Rich, Добрый, Моя Семья и др.",multon.ru,Иностранные компании (Кипр),СПб,АПК,39044,34364,2095,1277,12,22,997,832,271,1493
50,NA,Терем,Терем,NA,Магид В.М.,СПб,Жилищное строительство,38134,NA,4541,NA,381,NA,NA,NA,NA,NA
51,58,ВАД,ВАД,zaovad.ru,Граждане России,Вол. Обл.,Промышленное строительство,36649,28261,906,389,395,112,4578,2460,0,0
53,57,Дочерние общества ПАО Транснефть,Транснефть,transneft.ru,"ПАО Транснефть, Госсобственность",СЗФО,Трубопроводный транспорт,36414,28298,4388,6561,1815,2840,6354,5224,28397,15174
52,55,Концерн ТитанNA2,ТитанNA2,titan2.ru,Граждане России,Лен. Обл.,Промышленное строительство,36399,29999,616,NA14,30,14,1291,709,220,199
54,52,Виктория Балтия,Дикси,victoriaNAgroup.ru,Иностранные компании (Кипр),Калин. Обл.,FMCG ритейл,36343,31340,544,NA1147,133,177,3787,3567,615,846
55,54,Аромалюкс,Рив Гош,parfumNAstandard.ru,Иностранные компании (Кипр),СПб,FMCG ритейл,35451,30635,1114,1443,205,375,3030,2594,1322,270
